agda	.agda
arduino	.ino
asm	.s,.asm
astro	.astro
awk	.auk,.awk,.gawk,.mawk,.nawk
bash	.sh
bass	.bass
beancount	.beancount,.bean
bitbake	.bb,.bbappend,.bbclass
c	.c,.h
c_sharp	.cs
capnp	.capnp
clojure	.clj,.cljs,.cljc,.edn
cmake	.cmake,.cmake.in
cobol	.cob,.cbl,.cpy
comment	.txt
corn	.corn
cpp	.cc,.cpp,.cxx,.hpp,.hh,.hxx,.h
crystal	.cr
css	.css
csv	.csv
desktop	.desktop,.desktop.in,.service
devicetree	.dts,.dtsi
dhall	.dhall
diff	.patch,.diff
disassembly	.dis,.dump
djot	.dj,.djot
dot	.dot,.gv
editorconfig	.editorconfig
eex	.heex,.html.eex,.leex
elisp	.el
elixir	.ex,.exs
embedded_template	.erb,.ejs
erlang	.app,.app.src,.erl,.escript,.hrl,.xrl,.yrl
faust	.dsp
fidl	.fidl
fish	.fish
foam	.foam
forth	.fs,.fth,.4th
fortran	.f,.f90,.f95,.f03,.f08
fsharp	.fs,.fsi,.fsx
gdscript	.gd
git_config	.gitconfig
git_rebase	.git-rebase-todo
gitattributes	.gitattributes
gitcommit	COMMIT_EDITMSG
gitignore	.gitignore
gleam	.gleam
glsl	.glsl,.vert,.frag
gn	.gn,.gni
go	.go
godot_resource	.tres,.tscn
gomod	.mod
graphql	.graphql,.gql
groovy	.groovy,.gvy
hack	.hack,.hh
hare	.ha
haskell	.hs,.lhs
haxe	.hx
hcl	.hcl,.tf,.tfvars
heex	.heex
hlsl	.hlsl,.fx
html	.html,.htm
http	.http
hurl	.hurl
hyprlang	.conf
ini	.ini,.cfg,.conf
janet	.janet
java	.java
javascript	.js,.mjs,.cjs
jinja2	.j2,.jinja2,.jinja
jq	.jq
json	.json
json5	.json5
jsonnet	.jsonnet,.libsonnet
julia	.jl
kdl	.kdl
kotlin	.kt,.kts
ledger	.ledger,.journal
less	.less
linkerscript	.ld,.lds
liquid	.liquid
llvm	.ll
lua	.lua
luau	.luau
markdown	.md
matlab	.m,.mat
mermaid	.mmd,.mermaid
mojo	.mojo,.🔥
move	.move
nginx	.nginx,.nginxconf,.vhost
nickel	.ncl
nim	.nim,.nims
ninja	.ninja
nix	.nix
norg	.norg
nushell	.nu
objc	.m
ocaml	.ml,.mli
odin	.odin
org	.org
pascal	.pas,.pp,.inc
pem	.pem
perl	.pl,.pm
php	.php
pkl	.pkl
powershell	.ps1,.psm1,.psd1
prisma	.prisma
prolog	.pl,.pro
promql	.promql
properties	.properties
proto	.proto
pug	.pug,.jade
puppet	.pp
purescript	.purs
python	.py
ql	.ql
r	.r,.R
racket	.rkt
regex	.regex
rego	.rego
requirements	requirements.txt
rescript	.res,.resi
robot	.robot
ron	.ron
rst	.rst
ruby	.rb
rust	.rs
scala	.scala
scheme	.scm,.ss
scss	.scss
smithy	.smithy
solidity	.sol
sparql	.rq,.sparql
sql	.sql
squirrel	.nut
ssh_config	config
starlark	.star,.bzl
svelte	.svelte
swift	.swift
tablegen	.td
tcl	.tcl
teal	.tl
templ	.templ
textproto	.textproto,.txtpb,.pbtxt
thrift	.thrift
tlaplus	.tla
todotxt	.txt
toml	.toml
tsx	.tsx
turtle	.ttl
twig	.twig
typescript	.ts
typst	.typ
uxntal	.tal
v	.v,.vsh
verilog	.v,.sv,.svh
vhdl	.vhd,.vhdl
vue	.vue
wat	.wat,.wast
wgsl	.wgsl
wolfram	.wl,.m,.nb
xml	.xml
yaml	.yaml,.yml
yuck	.yuck
zig	.zig
